config,memory,test,parallel,run,ops_per_sec
LLFree,DRAM,get_pages(4KB)-free,8,3,2498188
LLFree,DRAM,get_pages(2MB)-alloc,8,3,76606
LLFree,DRAM,get_pages(2MB)-free,8,3,90304
LLFree,CXL,get_pages(4KB)-alloc,8,3,1270171
LLFree,CXL,get_pages(4KB)-free,8,3,704273
LLFree,user,user_malloc(even[16-256]),1,3,22781131
LLFree,user,user_malloc(even[16-256]),2,3,40192236
LLFree,user,user_malloc(even[16-256]),4,3,85847504
LLFree,user,user_malloc(even[16-256]),8,3,145704776
LLFree,user,user_malloc(even[16-256]),16,3,260648880
LLFree,user,user_malloc(even[16-256]),32,3,201351136
LLFree,user,user_malloc(even[16-256]),64,3,184269120
LLFree,user,user_malloc(even[16-256]),96,3,58926912
Buddy,DRAM,kmalloc,1,1,804382
Buddy,CXL,kmalloc,1,1,249018
Buddy,DRAM,get_pages(4KB)-alloc,1,1,153453
Buddy,DRAM,get_pages(4KB)-free,1,1,3354027
Buddy,DRAM,get_pages(2MB)-alloc,1,1,15607
Buddy,DRAM,get_pages(2MB)-free,1,1,113101
Buddy,CXL,get_pages(4KB)-alloc,1,1,150948
Buddy,CXL,get_pages(4KB)-free,1,1,1637570
Buddy,CXL,get_pages(2MB)-alloc,1,1,13198
Buddy,CXL,get_pages(2MB)-free,1,1,72793
Buddy,DRAM,random_get_free_4K2M,1,1,744782
Buddy,CXL,random_get_free_4K2M,1,1,760357
Buddy,DRAM,kmalloc,4,1,1451538
Buddy,CXL,kmalloc,4,1,170315
Buddy,DRAM,get_pages(4KB)-alloc,4,1,3637842
Buddy,DRAM,get_pages(4KB)-free,4,1,3252849
Buddy,DRAM,get_pages(2MB)-alloc,4,1,85371
Buddy,DRAM,get_pages(2MB)-free,4,1,113681
Buddy,CXL,get_pages(4KB)-alloc,4,1,2388410
Buddy,CXL,get_pages(4KB)-free,4,1,1449454
Buddy,user,user_malloc(even[16-256]),1,1,24040599
Buddy,user,user_malloc(even[16-256]),2,1,43642982
Buddy,user,user_malloc(even[16-256]),4,1,83015276
Buddy,user,user_malloc(even[16-256]),8,1,171684920
Buddy,user,user_malloc(even[16-256]),16,1,280793168
Buddy,user,user_malloc(even[16-256]),32,1,235356416
Buddy,user,user_malloc(even[16-256]),64,1,182572288
Buddy,user,user_malloc(even[16-256]),96,1,107716992
Buddy,DRAM,kmalloc,1,2,325595
Buddy,CXL,kmalloc,1,2,105547
Buddy,DRAM,get_pages(4KB)-alloc,1,2,70033
Buddy,DRAM,get_pages(4KB)-free,1,2,1512265
Buddy,DRAM,get_pages(2MB)-alloc,1,2,7270
Buddy,DRAM,get_pages(2MB)-free,1,2,50973
Buddy,CXL,get_pages(4KB)-alloc,1,2,122696
Buddy,CXL,get_pages(4KB)-free,1,2,1520009
Buddy,CXL,get_pages(2MB)-alloc,1,2,12367
Buddy,CXL,get_pages(2MB)-free,1,2,70805
Buddy,DRAM,random_get_free_4K2M,1,2,680175
Buddy,CXL,random_get_free_4K2M,1,2,688451
Buddy,DRAM,kmalloc,4,2,1529629
Buddy,CXL,kmalloc,4,2,141395
Buddy,DRAM,get_pages(4KB)-alloc,4,2,3673859
Buddy,DRAM,get_pages(4KB)-free,4,2,3377711
Buddy,DRAM,get_pages(2MB)-alloc,4,2,97763
Buddy,DRAM,get_pages(2MB)-free,4,2,110646
Buddy,CXL,get_pages(4KB)-alloc,4,2,2391628
Buddy,CXL,get_pages(4KB)-free,4,2,1569460
Buddy,CXL,get_pages(2MB)-alloc,4,2,70875
Buddy,CXL,get_pages(2MB)-free,4,2,73661
Buddy,DRAM,random_get_free_4K2M,4,2,772812
Buddy,CXL,random_get_free_4K2M,4,2,752678
Buddy,user,user_malloc(even[16-256]),1,2,23695974
Buddy,user,user_malloc(even[16-256]),2,2,45321748
Buddy,user,user_malloc(even[16-256]),4,2,87704012
Buddy,user,user_malloc(even[16-256]),8,2,172752960
Buddy,user,user_malloc(even[16-256]),16,2,304843296
Buddy,user,user_malloc(even[16-256]),32,2,350477376
Buddy,user,user_malloc(even[16-256]),64,2,120994432
Buddy,user,user_malloc(even[16-256]),96,2,74880192
Buddy,DRAM,kmalloc,1,3,779208
Buddy,CXL,kmalloc,1,3,180699
Buddy,DRAM,get_pages(4KB)-alloc,1,3,146564
Buddy,DRAM,get_pages(4KB)-free,1,3,2361282
Buddy,DRAM,get_pages(2MB)-alloc,1,3,14863
Buddy,DRAM,get_pages(2MB)-free,1,3,88459
Buddy,CXL,get_pages(4KB)-alloc,1,3,142506
Buddy,CXL,get_pages(4KB)-free,1,3,1033702
Buddy,CXL,get_pages(2MB)-alloc,1,3,11730
Buddy,CXL,get_pages(2MB)-free,1,3,43897
Buddy,DRAM,random_get_free_4K2M,1,3,728294
Buddy,CXL,random_get_free_4K2M,1,3,695996
Buddy,DRAM,kmalloc,4,3,1462894
Buddy,CXL,kmalloc,4,3,102714
Buddy,DRAM,get_pages(4KB)-alloc,4,3,2026559
Buddy,DRAM,get_pages(4KB)-free,4,3,2385138
Buddy,DRAM,get_pages(2MB)-alloc,4,3,76941
Buddy,DRAM,get_pages(2MB)-free,4,3,89877
Buddy,CXL,get_pages(4KB)-alloc,4,3,1806637
Buddy,CXL,get_pages(4KB)-free,4,3,1022567
Buddy,CXL,get_pages(2MB)-alloc,4,3,51561
Buddy,CXL,get_pages(2MB)-free,4,3,45965
Buddy,DRAM,random_get_free_4K2M,4,3,775067
Buddy,CXL,random_get_free_4K2M,4,3,704555
Buddy,DRAM,kmalloc,8,3,1195153
Buddy,CXL,kmalloc,8,3,67686
Buddy,DRAM,get_pages(4KB)-alloc,8,3,2073108
Buddy,DRAM,get_pages(4KB)-free,8,3,2456796
Buddy,DRAM,get_pages(2MB)-alloc,8,3,76576
Buddy,DRAM,get_pages(2MB)-free,8,3,90352
Buddy,CXL,get_pages(4KB)-alloc,8,3,1828813
Buddy,CXL,get_pages(4KB)-free,8,3,1028900
Buddy,user,user_malloc(even[16-256]),1,3,23568997
Buddy,user,user_malloc(even[16-256]),2,3,46078718
Buddy,user,user_malloc(even[16-256]),4,3,84879920
Buddy,user,user_malloc(even[16-256]),8,3,170057072
Buddy,user,user_malloc(even[16-256]),16,3,230337376
Buddy,user,user_malloc(even[16-256]),32,3,191537760
Buddy,user,user_malloc(even[16-256]),64,3,152879168
Buddy,user,user_malloc(even[16-256]),96,3,76583520
