percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
4.4,4297,10402,22005,7432,23941,53172
4.5,4297,10402,22009,7437,23948,53173
4.5,4298,10409,22039,7439,23948,53176
4.5,4298,10414,22091,7440,23950,53183
4.5,4298,10425,22107,7440,23950,53189
4.5,4298,10425,22113,7449,23953,53191
4.5,4298,10426,22129,7458,23954,53195
4.5,4298,10440,22142,7472,23956,53202
4.5,4299,10442,22148,7473,23957,53210
4.5,4299,10443,22156,7476,23958,53216
4.6,4300,10452,22159,7486,23960,53217
4.6,4300,10463,22162,7493,23961,53219
4.6,4301,10467,22167,7493,23962,53220
4.6,4301,10468,22196,7493,23964,53220
4.6,4302,10468,22251,7497,23966,53227
4.6,4303,10470,22255,7498,23967,53236
4.6,4303,10470,22274,7508,23967,53240
4.7,4303,10471,22284,7515,23972,53242
4.7,4303,10472,22310,7526,23974,53243
4.7,4304,10474,22349,7543,23975,53251
4.7,4304,10476,22358,7548,23978,53252
4.7,4304,10477,22372,7553,23981,53252
4.7,4305,10478,22395,7556,23981,53255
4.7,4305,10479,22427,7558,23981,53260
4.7,4305,10482,22429,7562,23982,53261
4.8,4305,10484,22443,7591,23982,53270
4.8,4306,10488,22455,7597,23982,53272
4.8,4307,10491,22504,7610,23984,53272
4.8,4307,10492,22525,7615,23985,53273
4.8,4307,10494,22532,7621,23987,53279
4.8,4307,10501,22545,7629,23988,53284
4.8,4307,10513,22561,7640,23988,53285
4.8,4307,10513,22583,7641,23989,53287
4.8,4308,10519,22590,7659,23990,53287
4.9,4309,10520,22601,7667,23990,53288
4.9,4309,10524,22610,7680,23990,53289
4.9,4310,10527,22613,7683,23991,53294
4.9,4310,10529,22614,7689,23992,53294
4.9,4310,10530,22632,7693,23992,53300
4.9,4310,10532,22632,7709,23992,53303
4.9,4310,10538,22646,7720,23998,53305
5.0,4310,10540,22647,7753,24000,53306
5.0,4311,10541,22658,7776,24003,53308
5.0,4311,10542,22662,7788,24005,53310
5.0,4312,10550,22668,7790,24006,53314
5.0,4312,10556,22693,7797,24006,53318
5.0,4312,10568,22700,7798,24008,53318
5.0,4312,10569,22722,7799,24010,53321
5.0,4312,10570,22734,7799,24011,53326
5.0,4312,10579,22736,7799,24011,53331
5.1,4312,10579,22748,7803,24012,53333
5.1,4312,10580,22813,7803,24015,53338
5.1,4312,10582,22818,7806,24015,53339
5.1,4312,10589,22824,7812,24015,53345
5.1,4312,10589,22863,7814,24016,53349
5.1,4313,10591,22878,7820,24021,53349
5.1,4313,10594,22886,7821,24023,53352
5.2,4313,10595,22893,7825,24023,53353
5.2,4313,10612,22896,7825,24024,53354
5.2,4313,10613,22911,7825,24027,53360
5.2,4313,10613,22914,7829,24027,53365
5.2,4313,10618,22960,7833,24030,53367
5.2,4313,10621,22960,7833,24031,53367
5.2,4313,10624,22964,7835,24031,53372
5.2,4314,10629,22967,7842,24031,53375
5.2,4314,10631,22986,7844,24033,53378
5.3,4314,10633,22992,7845,24033,53379
5.3,4315,10636,23000,7846,24035,53383
5.3,4315,10646,23015,7847,24035,53385
5.3,4315,10651,23031,7848,24037,53392
5.3,4315,10653,23037,7852,24039,53403
5.3,4315,10658,23037,7856,24040,53407
5.3,4315,10666,23038,7857,24042,53407
5.3,4316,10667,23047,7867,24045,53409
5.4,4316,10670,23047,7867,24045,53412
5.4,4316,10672,23057,7867,24047,53417
5.4,4316,10672,23064,7868,24048,53418
5.4,4316,10672,23071,7869,24048,53422
5.4,4316,10676,23075,7871,24049,53422
5.4,4317,10676,23079,7872,24049,53423
5.4,4317,10678,23080,7874,24052,53426
5.5,4317,10679,23084,7875,24053,53427
5.5,4318,10685,23100,7875,24054,53427
5.5,4318,10685,23120,7876,24055,53434
5.5,4318,10689,23125,7877,24055,53435
5.5,4318,10696,23137,7878,24056,53436
5.5,4318,10699,23139,7880,24056,53438
